iter	Logloss
0	0.3472857533
1	0.2753475323
2	0.2573769023
3	0.2514158932
4	0.2477918654
5	0.2451015807
6	0.2431827218
7	0.2414674685
8	0.2396461776
9	0.2385124019
10	0.2368390969
11	0.2352760111
12	0.2338323417
13	0.2329447389
14	0.2317180378
15	0.2304582984
16	0.2292587825
17	0.2281481236
18	0.2270321994
19	0.2261603768
20	0.2252926811
21	0.2241271175
22	0.2232193682
23	0.2221777877
24	0.2216279532
25	0.2206095239
26	0.218935995
27	0.2176399611
28	0.2163178861
29	0.2150309538
30	0.2138404844
31	0.2123359086
32	0.2114139555
33	0.2107233987
34	0.2099339106
35	0.2091214794
36	0.2076286127
37	0.2067638792
38	0.2057806095
39	0.2047912639
40	0.2040314133
41	0.2031844244
42	0.2020625865
43	0.2008827866
44	0.2002679738
45	0.199421623
46	0.1990538284
47	0.1983092815
48	0.1976492578
49	0.1967993133
