iter	Passed	Remaining
0	1934	94767
1	3699	88798
2	5229	81924
3	6722	77310
4	8207	73863
5	9730	71356
6	10989	67506
7	12020	63109
8	13288	60538
9	14312	57250
10	15041	53329
11	15751	49878
12	16410	46705
13	17133	44056
14	17623	41121
15	18092	38447
16	18580	36067
17	19092	33942
18	19793	32295
19	20273	30410
20	20768	28680
21	21288	27094
22	21765	25550
23	22249	24103
24	22666	22666
25	23142	21362
26	23673	20166
27	24134	18963
28	24625	17832
29	25121	16747
30	25602	15691
31	26110	14687
32	26590	13698
33	27026	12718
34	27476	11775
35	27964	10874
36	28465	10001
37	28945	9140
38	29436	8302
39	29912	7478
40	30351	6662
41	30818	5870
42	31329	5100
43	31815	4338
44	32287	3587
45	32765	2849
46	33155	2116
47	33629	1401
48	34130	696
49	34621	0
