iter	Passed	Remaining
0	143	5607
1	251	4775
2	379	4677
3	487	4389
4	608	4260
5	731	4144
6	859	4054
7	970	3880
8	1098	3783
9	1225	3677
10	1332	3513
11	1566	3655
12	4784	9936
13	6781	12594
14	7199	11998
15	7414	11121
16	7929	10728
17	8109	9911
18	8302	9176
19	8397	8397
20	8509	7699
21	8607	7042
22	8706	6434
23	8836	5890
24	8955	5373
25	9061	4879
26	9161	4411
27	9257	3967
28	9369	3554
29	9519	3173
30	9637	2798
31	9723	2430
32	9822	2083
33	9938	1753
34	10043	1434
35	10143	1127
36	10255	831
37	10363	545
38	10460	268
39	10570	0
