iter	Logloss
0	0.3358715004
1	0.2795401191
2	0.2599182245
3	0.2535626175
4	0.2494245261
5	0.2471594679
6	0.2456548803
7	0.2445076125
8	0.2436155072
9	0.2427700989
10	0.2422173911
11	0.2414679483
12	0.2406337867
13	0.2398732339
14	0.2392983102
15	0.2388204642
16	0.2383411948
17	0.237712527
18	0.236959814
19	0.2363799729
20	0.2359762896
21	0.23547365
22	0.2348169697
23	0.2339289903
24	0.2332097337
25	0.2326117402
26	0.2318384346
27	0.2312404711
28	0.2304423131
29	0.229716388
30	0.2292435903
31	0.2291667802
32	0.2285157332
33	0.2278684415
34	0.2273383235
35	0.2269229068
36	0.2263223363
37	0.2257193199
38	0.2251698261
39	0.2246114056
