iter	Passed	Remaining
0	129	5055
1	455	8662
2	603	7438
3	704	6339
4	835	5851
5	1027	5822
6	1284	6054
7	1382	5530
8	1486	5121
9	3212	9637
10	5911	15584
11	6343	14801
12	8201	17034
13	9926	18435
14	10104	16841
15	10238	15357
16	11586	15676
17	12930	15804
18	14382	15896
19	14633	14633
20	14870	13454
21	15155	12399
22	15360	11353
23	15603	10402
24	15835	9501
25	16015	8623
26	16124	7763
27	16210	6947
28	16306	6185
29	16461	5487
30	16615	4823
31	16718	4179
32	16803	3564
33	16893	2981
34	16982	2426
35	17076	1897
36	17158	1391
37	17243	907
38	17339	444
39	17427	0
