iter	Logloss
0	0.3353352975
1	0.2792271719
2	0.259853184
3	0.252305686
4	0.2489288553
5	0.2465735196
6	0.2448426876
7	0.2433058561
8	0.2417510227
9	0.2403192113
10	0.2395544754
11	0.2390583398
12	0.2380461407
13	0.2372160537
14	0.2364665871
15	0.235751965
16	0.2349213225
17	0.2339704018
18	0.2328439091
19	0.2324536011
20	0.2311466892
21	0.2304311049
22	0.2296759499
23	0.2288031115
24	0.2277280848
25	0.2268455358
26	0.2258797684
27	0.2252155124
28	0.2245138061
29	0.2237470442
30	0.2236820802
31	0.222804846
32	0.2224706665
33	0.2217066673
34	0.2209368854
35	0.220251791
36	0.2201937259
37	0.2195025507
38	0.2188558974
39	0.2182266097
