iter	Logloss
0	0.3490712095
1	0.2769587127
2	0.2619413818
3	0.2573307686
4	0.2532331275
5	0.2500836288
6	0.2482052525
7	0.2468421127
8	0.2454244803
9	0.2440327556
10	0.2431643999
11	0.2424196775
12	0.241615428
13	0.2408084429
14	0.2400311396
15	0.2395041439
16	0.2388117617
17	0.238306864
18	0.2377292081
19	0.2371666607
20	0.2367110922
21	0.2360029876
22	0.2354569465
23	0.234938415
24	0.2342831652
25	0.2335906739
26	0.2327606474
27	0.2322893977
28	0.2317249031
29	0.2311714539
30	0.2305685353
31	0.2300127437
32	0.2293231459
33	0.2287476919
34	0.2283224954
35	0.2278912268
36	0.2274733181
37	0.2270352782
38	0.226556304
39	0.2260154538
40	0.2255282281
41	0.2250238566
42	0.2245637139
43	0.2239946392
44	0.2234031547
45	0.2229220794
46	0.2223811448
47	0.2219358495
48	0.2214063624
49	0.2209340047
