iter	Passed	Remaining
0	998	48948
1	1795	43082
2	2806	43971
3	3613	41550
4	4630	41676
5	5523	40508
6	6440	39561
7	7455	39139
8	8315	37883
9	9234	36939
10	10308	36547
11	11333	35890
12	12297	34999
13	12940	33275
14	13531	31574
15	14216	30210
16	14973	29066
17	15717	27942
18	16324	26635
19	16903	25355
20	17432	24073
21	17920	22808
22	18444	21651
23	18963	20543
24	19459	19459
25	19816	18292
26	20168	17180
27	20503	16109
28	20864	15109
29	21261	14174
30	21633	13259
31	22029	12391
32	22387	11532
33	22723	10693
34	23098	9899
35	23415	9105
36	23784	8356
37	24150	7626
38	24453	6897
39	24811	6202
40	25186	5528
41	25538	4864
42	25905	4217
43	26269	3582
44	26654	2961
45	27034	2350
46	27395	1748
47	27744	1156
48	28139	574
49	28506	0
