iter	Passed	Remaining
0	2323	113829
1	4817	115615
2	6635	103956
3	8150	93735
4	9965	89689
5	11897	87244
6	13459	82680
7	15589	81847
8	17159	78171
9	18708	74834
10	20020	70980
11	20901	66189
12	21674	61688
13	22359	57496
14	22810	53223
15	23274	49457
16	23758	46119
17	24253	43116
18	24807	40475
19	25255	37882
20	26045	35967
21	26538	33776
22	27015	31713
23	27494	29785
24	28069	28069
25	28613	26412
26	29089	24779
27	29716	23348
28	30107	21801
29	30613	20408
30	31089	19054
31	31622	17787
32	32093	16532
33	32617	15349
34	33094	14183
35	33590	13062
36	34080	11974
37	34681	10952
38	35187	9924
39	35779	8944
40	36255	7958
41	36677	6986
42	37173	6051
43	37680	5138
44	38169	4241
45	38577	3354
46	39068	2493
47	39533	1647
48	40037	817
49	40469	0
