iter	Passed	Remaining
0	239	6956
1	379	5316
2	554	4986
3	691	4494
4	848	4243
5	1040	4160
6	1188	3903
7	1332	3664
8	1465	3418
9	1605	3211
10	1740	3006
11	1874	2812
12	2019	2641
13	2178	2490
14	2330	2330
15	2471	2162
16	2605	1992
17	2792	1861
18	2950	1708
19	3077	1538
20	3225	1382
21	3354	1219
22	3478	1058
23	3624	906
24	3759	751
25	3904	600
26	4034	448
27	4202	300
28	4338	149
29	4476	0
