iter	Logloss
0	0.3406158126
1	0.2755102792
2	0.2584173876
3	0.2534904368
4	0.2509539379
5	0.2477820088
6	0.2468947434
7	0.2459515998
8	0.2449430095
9	0.2439200654
10	0.2434063984
11	0.2429224581
12	0.2422558122
13	0.24164634
14	0.2413048214
15	0.240680096
16	0.239991377
17	0.2392019193
18	0.2385962278
19	0.2383130184
20	0.2377485152
21	0.2370651206
22	0.2366220289
23	0.2360841067
24	0.235685913
25	0.2351656852
26	0.2347023172
27	0.2341592739
28	0.2337916425
29	0.2330960305
