iter	Logloss
0	0.3478416072
1	0.274601544
2	0.2603322239
3	0.2547165017
4	0.250639441
5	0.2482233277
6	0.2466092816
7	0.2446860596
8	0.2431794961
9	0.2418971718
10	0.2404745595
11	0.2391809896
12	0.2380727147
13	0.2371803102
14	0.2362957675
15	0.235533472
16	0.2345834738
17	0.2333949612
18	0.2326128451
19	0.2318377584
20	0.2310204344
21	0.2305226108
22	0.2296474626
23	0.2287883901
24	0.2277394345
25	0.2267652313
26	0.2254823012
27	0.2243573573
28	0.2232752665
29	0.2222702378
30	0.2212508853
31	0.2203850422
32	0.2193687641
33	0.2181197051
34	0.217074216
35	0.2161405745
36	0.2150638168
37	0.2148959059
38	0.213912449
39	0.2130643935
40	0.2122642795
41	0.211331218
42	0.2103851029
43	0.2095737748
44	0.2086757804
45	0.2083547901
46	0.2074656643
47	0.2064509304
48	0.2058135694
49	0.2050946019
