iter	Passed	Remaining
0	204	7962
1	319	6071
2	434	5359
3	558	5027
4	662	4637
5	773	4385
6	878	4142
7	1043	4172
8	1240	4271
9	1369	4108
10	1504	3967
11	4460	10407
12	6037	12538
13	7009	13016
14	7338	12231
15	7576	11364
16	8003	10828
17	8434	10308
18	8815	9743
19	8921	8921
20	9024	8164
21	9137	7476
22	9255	6841
23	9358	6239
24	9452	5671
25	9577	5156
26	9709	4675
27	9812	4205
28	9917	3761
29	10811	3603
30	11751	3411
31	13303	3325
32	13566	2877
33	14243	2513
34	14767	2109
35	14938	1659
36	15052	1220
37	15209	800
38	15339	393
39	15448	0
