iter	Logloss
0	0.3359956762
1	0.279926264
2	0.2608724806
3	0.2532134
4	0.2505222164
5	0.2483938911
6	0.2474028003
7	0.2457547089
8	0.2448495691
9	0.2439866447
10	0.2431319198
11	0.2423912647
12	0.24163247
13	0.2410543981
14	0.2401745038
15	0.2397087172
16	0.2388812974
17	0.238280281
18	0.2376379841
19	0.2369436799
20	0.2364520068
21	0.2358912932
22	0.2350772531
23	0.23462964
24	0.2342245987
25	0.2335769255
26	0.2326579917
27	0.232207846
28	0.2315091495
29	0.2308969437
30	0.230478104
31	0.2299281098
32	0.2292340269
33	0.2286207278
34	0.2278197845
35	0.227273058
36	0.2267802171
37	0.2261025132
38	0.2254262806
39	0.2250500181
