iter	Logloss
0	0.3558276766
1	0.2814625478
2	0.2611056557
3	0.2547485614
4	0.251092315
5	0.2480915801
6	0.246458475
7	0.2452560415
8	0.243801134
9	0.2428278772
10	0.2415729848
11	0.2403279418
12	0.239221656
13	0.2383574649
14	0.2373475048
15	0.2361274918
16	0.2351694206
17	0.2343830877
18	0.2335000598
19	0.2322717688
20	0.2317565498
21	0.2308914769
22	0.2296679246
23	0.2287546723
24	0.2282718046
25	0.2271626144
26	0.2264339256
27	0.2254195639
28	0.2246029686
29	0.2236087458
30	0.223511093
31	0.2227895895
32	0.2221255182
33	0.2216251788
34	0.2207077983
35	0.2200348011
36	0.2189944786
37	0.2185337675
38	0.2178526083
39	0.2171151302
