iter	Passed	Remaining
0	209	8165
1	301	5728
2	397	4898
3	484	4358
4	575	4031
5	716	4057
6	817	3855
7	911	3644
8	1000	3447
9	1187	3563
10	1279	3373
11	1366	3188
12	1457	3026
13	1629	3026
14	5205	8675
15	8413	12620
16	9026	12212
17	9638	11780
18	10072	11133
19	10245	10245
20	10360	9373
21	10563	8643
22	10720	7923
23	10822	7214
24	10915	6549
25	11009	5928
26	11105	5347
27	11207	4803
28	11304	4287
29	11410	3803
30	11607	3369
31	11722	2930
32	11830	2509
33	11928	2104
34	12031	1718
35	12146	1349
36	12257	993
37	12352	650
38	12473	319
39	12593	0
